ultima_compra,visitas,online,loja,catalogo,descontos,vinho,doces,fruta,carne,peixe,renda,total_gasto,adolescentes,criancas,estado_civil,educacao,tempo_cliente,reclamacao,idade,aceitou_campanha
58,7,8,4,10,3,635,88,88,546,172,58138.0,1529,0,0,solteiro,graduado,2822,0,63,1
38,5,1,2,1,2,11,1,1,6,2,46344.0,21,1,1,solteiro,graduado,2272,0,66,0
26,4,8,10,2,1,426,21,49,127,111,71613.0,734,0,0,uniao_estavel,graduado,2471,0,55,0
26,6,2,4,0,2,11,3,4,20,10,26646.0,48,0,1,uniao_estavel,graduado,2298,0,36,0
94,5,5,6,3,5,173,27,43,118,46,58293.0,407,0,1,casado,doutorado,2320,0,39,0
16,6,6,10,4,2,520,42,42,98,0,62513.0,702,1,0,uniao_estavel,mestrado,2452,0,53,0
34,6,7,7,3,4,235,49,65,164,50,55635.0,563,1,0,divorciado,graduado,2752,0,49,0
32,8,4,4,0,2,76,1,10,56,3,33454.0,146,0,1,casado,doutorado,2576,0,35,0
19,9,3,2,0,1,14,3,0,24,3,30351.0,44,0,1,uniao_estavel,doutorado,2547,0,46,1
68,20,1,0,0,1,28,1,0,6,1,5648.0,36,1,1,uniao_estavel,doutorado,2267,0,70,0
59,8,2,3,0,1,6,1,16,11,11,7500.0,45,0,0,casado,primeiro_grau,2752,0,44,0
82,2,3,8,4,1,194,112,61,480,225,63033.0,1072,0,0,divorciado,graduado,2385,0,61,0
53,6,6,5,1,3,233,5,2,53,3,59354.0,296,1,1,divorciado,mestrado,2385,0,68,0
38,8,1,3,0,1,3,1,14,17,6,17323.0,41,0,0,casado,graduado,2786,0,33,0
23,3,7,12,6,1,1006,68,22,115,59,82800.0,1270,0,0,solteiro,doutorado,2741,0,74,1
51,8,3,3,0,3,53,13,5,19,2,41850.0,92,1,1,casado,graduado,2711,0,40,0
20,7,4,6,1,2,84,12,5,38,150,37760.0,289,0,0,uniao_estavel,graduado,2826,0,74,0
91,5,11,9,4,2,1012,16,80,498,0,76995.0,1606,1,0,casado,mestrado,2617,0,71,0
86,6,2,3,1,2,4,24,17,19,30,33812.0,94,0,1,solteiro,segundo_grau,2762,0,35,0
41,8,4,5,2,1,86,38,2,73,69,37040.0,268,0,0,casado,graduado,2849,0,38,0
42,1,0,0,28,15,1,1,1,1725,1,2447.0,1729,0,1,casado,graduado,2698,0,41,0
63,8,2,9,3,3,867,0,0,86,0,58607.0,953,1,0,casado,doutorado,2712,0,71,0
0,4,6,9,2,3,384,32,0,102,21,65324.0,539,1,0,casado,doutorado,2328,0,66,0
69,8,7,5,1,7,270,6,3,27,39,40689.0,345,1,0,uniao_estavel,graduado,2627,0,69,0
89,7,2,3,1,2,6,12,4,25,15,18589.0,62,0,0,solteiro,graduado,2702,0,51,0
4,7,5,4,1,4,173,6,4,30,3,53359.0,216,1,1,casado,graduado,2557,0,44,0
26,3,2,4,1,2,36,21,2,42,20,38360.0,121,0,1,casado,graduado,2553,0,31,0
96,2,6,10,9,1,684,66,100,801,21,84618.0,1672,0,0,casado,doutorado,2378,0,55,0
34,5,3,3,0,2,8,2,4,10,2,10979.0,26,0,0,divorciado,mestrado,2197,0,31,0
56,3,2,3,5,1,112,22,17,44,34,38620.0,229,0,0,uniao_estavel,mestrado,2573,0,57,0
31,5,2,4,1,2,110,0,0,5,2,40548.0,117,1,0,uniao_estavel,graduado,2786,0,50,0
8,6,4,6,1,6,96,22,12,96,33,46610.0,259,2,0,divorciado,doutorado,2767,0,68,1
4,7,3,9,5,1,482,68,34,471,119,68657.0,1174,0,0,casado,mestrado,2653,0,74,0
55,7,2,3,0,1,40,1,0,19,2,49389.0,62,1,1,solteiro,mestrado,2463,0,69,0
37,2,5,12,6,5,702,8,17,151,0,67353.0,878,1,0,casado,doutorado,2339,0,50,0
76,7,3,2,1,3,6,7,3,14,15,23718.0,45,0,1,casado,segundo_grau,2459,0,44,0
99,5,1,3,1,2,55,0,0,6,2,42429.0,63,1,0,viuvo,graduado,2297,0,47,0
53,6,7,5,10,2,437,49,8,206,160,48948.0,860,0,0,divorciado,doutorado,2672,0,77,1
3,4,8,5,6,2,421,178,76,536,82,80011.0,1293,1,0,casado,graduado,2585,0,40,0
88,8,2,3,0,2,13,0,1,29,3,20559.0,46,0,1,casado,mestrado,2633,0,35,0
4,5,0,3,0,1,9,1,0,6,3,21994.0,19,1,0,uniao_estavel,graduado,2711,0,63,0
19,5,2,3,0,3,3,2,1,10,3,7500.0,19,0,1,casado,mestrado,2429,0,45,0
72,1,2,9,4,1,123,30,164,266,227,79941.0,810,0,0,solteiro,graduado,2160,0,44,0
