idade,emprego,estado_civil,educacao,casa,emprestimo,contatos,mes,dia,tempo_conta,anonimizado_1,anonimizado_2,anonimizado_3,anonimizado_4,anonimizado_5,anonimizado_6,anonimizado_7,anonimizado_8,anonimizado_9,anonimizado_10,anonimizado_11,aceitou_proposta
35,admin.,single,university.degree,yes,no,cellular,may,thu,143.0,34579,no,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
42,technician,married,professional.course,no,no,telephone,may,tue,1623.0,446,no,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
36,admin.,married,university.degree,no,no,cellular,aug,mon,610.0,20173,no,2,999,0,,1.4,93.444,-36.1,4.965,5228.1,yes
37,admin.,married,high.school,yes,yes,telephone,jul,wed,1089.0,18171,no,2,999,0,,1.4,93.918,-42.7,4.963,5228.1,yes
31,management,single,university.degree,yes,no,cellular,apr,thu,211.0,30128,no,1,999,0,,-1.8,93.075,-47.1,1.365,5099.1,no
25,admin.,single,unknown,no,no,telephone,jun,tue,221.0,36765,no,7,999,0,,-2.9,92.963,-40.8,1.286,5076.2,yes
42,blue-collar,married,basic.9y,no,no,telephone,may,wed,92.0,6835,no,5,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
36,blue-collar,single,basic.9y,no,yes,cellular,may,thu,1516.0,31944,no,2,999,0,,-1.8,92.893,-46.2,1.327,5099.1,yes
62,retired,married,university.degree,yes,no,cellular,nov,thu,208.0,41174,no,1,1,6,success,-1.1,94.767,-50.8,1.031,4963.6,yes
70,retired,married,basic.4y,no,no,cellular,sep,tue,150.0,38071,no,1,3,2,success,-3.4,92.379,-29.8,0.77,5017.5,yes
33,services,married,high.school,yes,no,cellular,jul,fri,548.0,12368,no,2,999,0,,1.4,93.918,-42.7,4.959,5228.1,no
24,admin.,married,basic.9y,yes,no,telephone,may,mon,764.0,5863,no,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
53,technician,married,professional.course,no,no,cellular,may,mon,206.0,30599,no,3,999,0,,-1.8,92.893,-46.2,1.354,5099.1,yes
27,student,single,university.degree,no,yes,cellular,nov,mon,118.0,38691,no,1,999,0,,-3.4,92.649,-30.1,0.715,5017.5,yes
30,admin.,single,university.degree,yes,yes,telephone,aug,thu,50.0,23661,no,9,999,0,,1.4,93.444,-36.1,4.962,5228.1,no
33,admin.,single,university.degree,no,no,cellular,jun,tue,541.0,36463,no,3,999,0,,-2.9,92.963,-40.8,1.262,5076.2,yes
56,retired,married,basic.4y,no,no,cellular,nov,fri,163.0,27593,no,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
36,services,married,university.degree,no,yes,cellular,jun,tue,255.0,36923,no,2,3,1,success,-2.9,92.963,-40.8,1.206,5076.2,yes
54,services,divorced,high.school,yes,no,cellular,oct,wed,487.0,41000,no,3,999,2,failure,-1.1,94.601,-49.5,1.016,4963.6,yes
40,admin.,married,high.school,yes,yes,cellular,jul,mon,615.0,12387,no,2,999,0,,1.4,93.918,-42.7,4.96,5228.1,yes
27,admin.,single,university.degree,yes,no,cellular,may,thu,1543.0,34670,no,4,999,0,,-1.8,92.893,-46.2,1.266,5099.1,yes
61,unknown,single,basic.4y,yes,yes,cellular,may,tue,131.0,36019,no,3,999,0,,-1.8,92.893,-46.2,1.266,5099.1,no
48,blue-collar,married,basic.6y,no,no,telephone,may,wed,22.0,31512,unknown,6,999,0,,-1.8,92.893,-46.2,1.334,5099.1,no
