idade,emprego,estado_civil,educacao,saldo_bancario,possui_casa,emprestimo,dia,mes,duracao,qtd_contato,deposito
59.0,admin.,,secondary,2343,yes,no,5,may,1042.0,1.0,yes
56.0,admin.,,secondary,45,no,no,5,may,1467.0,1.0,yes
41.0,technician,,secondary,1270,yes,no,5,may,1389.0,1.0,yes
55.0,services,,secondary,2476,yes,no,5,may,579.0,1.0,yes
54.0,admin.,,tertiary,184,no,no,5,may,673.0,2.0,yes
42.0,management,,tertiary,0,yes,yes,5,may,562.0,2.0,yes
56.0,management,,tertiary,830,yes,yes,6,may,1201.0,1.0,yes
60.0,retired,divorced,secondary,545,yes,no,6,may,1030.0,1.0,yes
37.0,technician,,secondary,1,yes,no,6,may,608.0,1.0,yes
28.0,services,,secondary,5090,yes,no,6,may,1297.0,3.0,yes
38.0,admin.,,secondary,100,yes,no,7,may,786.0,1.0,yes
30.0,blue-collar,,secondary,309,yes,no,7,may,1574.0,2.0,yes
29.0,management,,tertiary,199,yes,yes,7,may,1689.0,4.0,yes
46.0,blue-collar,,tertiary,460,yes,no,7,may,1102.0,2.0,yes
31.0,technician,,tertiary,703,yes,no,8,may,943.0,2.0,yes
35.0,management,divorced,tertiary,3837,yes,no,8,may,1084.0,1.0,yes
32.0,blue-collar,,primary,611,yes,no,8,may,541.0,3.0,yes
49.0,services,,secondary,-8,yes,no,8,may,1119.0,1.0,yes
41.0,admin.,,secondary,55,yes,no,8,may,1120.0,2.0,yes
49.0,admin.,divorced,secondary,168,yes,yes,8,may,513.0,1.0,yes
28.0,admin.,divorced,secondary,785,yes,no,8,may,442.0,2.0,yes
43.0,management,,tertiary,2067,yes,no,8,may,756.0,1.0,yes
43.0,management,divorced,tertiary,388,yes,no,8,may,2087.0,2.0,yes
43.0,blue-collar,,primary,-192,yes,no,8,may,1120.0,2.0,yes
37.0,unemployed,,secondary,381,yes,no,8,may,985.0,2.0,yes
35.0,blue-collar,,secondary,40,yes,no,9,may,617.0,4.0,yes
31.0,technician,,tertiary,22,yes,no,9,may,483.0,3.0,yes
