marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
positivo,2021,4,5,6,não,0,3,128,HD,IPS,não,250,0,entrada,4410
lenovo,2022,12,14,64,não,0,3,249,FULLHD,IPS,sim,0,500,2em1,11726
positivo,2013,2,3,4,não,0,4,143,HD,TN,não,250,0,entrada,4327
asus,2011,2,2,2,não,0,2,349,HD,OLED,não,500,0,intermediario,10781
hp,2023,6,12,64,não,0,2,578,FULLHD,IPS,não,0,250,ultraportatil,21193
asus,2017,10,17,16,não,0,2,117,FULLHD,IPS,sim,0,500,2em1,11450
huawei,2015,12,13,16,não,0,2,531,QUADHD,AMOLED,não,0,250,premium,19106
dell,2012,6,12,12,sim,4,1,195,FULLHD,TN,não,250,1000,jogos_entrada,9396
apple,2023,4,8,16,não,0,2,433,FULLHD,OLED,não,0,2000,premium,18563
apple,2018,4,7,8,não,0,2,469,FULLHD,OLED,não,0,1000,premium,17555
acer,2023,10,18,32,sim,12,4,136,4K,AMOLED,não,0,250,jogos_premium,19613
dell,2022,10,15,16,não,0,1,102,HD,OLED,não,0,1000,intermediario,8435
hp,2013,4,6,12,sim,6,4,149,4K,VA,não,2000,1000,jogos_intermediarios,10654
dell,2023,8,11,6,não,0,2,546,FULLHD,IPS,não,0,250,ultraportatil,16362
lenovo,2017,8,9,32,sim,6,4,87,QUADHD,AMOLED,não,0,1000,jogos_premium,21694
xiaomi,2022,6,6,16,não,0,2,528,4K,AMOLED,não,0,1000,premium,20856
apple,2011,4,8,16,não,0,3,453,4K,OLED,não,0,250,premium,16287
apple,2016,12,16,8,não,0,2,494,4K,OLED,não,0,1000,premium,16352
samsung,2016,4,8,16,sim,6,3,173,QUADHD,OLED,não,0,250,jogos_intermediarios,12280
acer,2021,10,10,16,sim,6,4,165,QUADHD,IPS,não,0,250,jogos_intermediarios,10828
hp,2014,8,16,8,não,0,2,545,FULLHD,VA,não,250,500,ultraportatil,18741
xiaomi,2021,8,8,8,não,0,3,511,4K,AMOLED,não,0,1000,premium,18055
dell,2017,6,8,8,não,0,1,429,HD,TN,não,0,500,intermediario,10701
huawei,2023,10,20,16,não,0,3,529,4K,OLED,não,0,250,premium,19062
razer,2010,8,11,32,sim,6,3,192,QUADHD,OLED,não,250,1000,jogos_premium,22499
apple,2022,8,14,8,não,0,2,540,FULLHD,OLED,não,0,500,premium,16986
asus,2020,6,10,8,não,0,3,53,FULLHD,AMOLED,sim,0,500,2em1,10262
