marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento
hp,2015.0,6,8,12,sim,2,2,95.0,FULLHD,VA,não,0,250,jogos_entrada
hp,2015.0,10,17,12,sim,4,1,51.0,QUADHD,TN,não,0,250,jogos_intermediarios
huawei,2012.0,10,17,8,não,0,2,474.0,FULLHD,AMOLED,não,0,2000,premium
apple,2016.0,12,23,8,não,0,3,565.0,FULLHD,OLED,não,0,500,premium
samsung,2012.0,4,6,16,não,0,3,537.0,FULLHD,IPS,,0,500,2em1
razer,2021.0,8,14,32,sim,6,4,53.0,FULLHD,AMOLED,não,0,2000,jogos_premium
huawei,2010.0,8,15,16,não,0,3,523.0,FULLHD,OLED,,2000,250,premium
huawei,2016.0,8,8,16,não,0,3,447.0,FULLHD,AMOLED,não,0,2000,premium
asus,2011.0,4,5,16,não,0,3,95.0,FULLHD,IPS,sim,250,250,2em1
razer,2012.0,8,14,8,não,0,2,,QUADHD,OLED,não,1000,250,premium
dell,2013.0,6,8,2,não,0,3,501.0,FULLHD,OLED,,0,250,ultraportatil
positivo,2011.0,6,9,6,não,0,4,178.0,HD,IPS,não,2000,0,entrada
dell,2016.0,6,6,6,não,0,3,594.0,HD,IPS,,1000,0,entrada
xiaomi,2020.0,6,12,16,não,0,2,592.0,FULLHD,AMOLED,,0,250,premium
positivo,2014.0,10,14,8,não,0,4,149.0,HD,TN,,2000,0,entrada
asus,2015.0,6,9,8,não,0,2,514.0,FULLHD,AMOLED,,0,1000,2em1
xiaomi,2010.0,4,8,8,não,0,3,596.0,FULLHD,OLED,,250,250,premium
apple,2023.0,4,4,8,não,0,2,556.0,4K,OLED,não,0,250,premium
samsung,2010.0,4,8,8,não,0,1,399.0,HD,TN,,250,0,entrada
dell,2017.0,6,12,8,não,0,2,445.0,FULLHD,IPS,sim,0,500,premium
positivo,2020.0,10,17,32,não,0,2,33.0,HD,IPS,,1000,0,entrada
apple,2012.0,6,10,8,não,0,2,531.0,4K,AMOLED,,2000,250,premium
hp,2016.0,10,14,8,sim,2,4,,FULLHD,OLED,,0,250,jogos_entrada
razer,2015.0,8,8,8,não,0,3,600.0,FULLHD,OLED,não,0,500,premium
dell,2010.0,4,5,16,não,0,2,404.0,FULLHD,AMOLED,sim,500,250,2em1
apple,,12,24,16,não,0,2,430.0,QUADHD,OLED,,0,250,premium
xiaomi,2016.0,6,8,16,não,0,3,529.0,QUADHD,OLED,,0,2000,premium
huawei,2010.0,12,16,16,não,0,2,492.0,QUADHD,AMOLED,,250,250,premium
huawei,2013.0,12,20,16,não,0,3,556.0,FULLHD,AMOLED,,0,250,premium
hp,2011.0,8,8,16,sim,6,4,83.0,4K,TN,,1000,2000,jogos_intermediarios
razer,2016.0,10,15,8,não,0,2,544.0,FULLHD,AMOLED,não,0,500,premium
samsung,2020.0,12,15,8,não,0,3,414.0,FULLHD,OLED,,0,1000,premium
huawei,,8,11,16,não,0,2,476.0,4K,OLED,,0,500,premium
lenovo,2016.0,8,11,32,não,0,3,314.0,FULLHD,AMOLED,,0,250,2em1
hp,2014.0,4,6,12,sim,2,3,150.0,FULLHD,IPS,não,2000,2000,jogos_entrada
positivo,2018.0,10,11,4,não,0,2,60.0,HD,TN,não,0,500,entrada
razer,2018.0,12,15,8,não,0,3,581.0,4K,OLED,,0,250,premium
asus,2023.0,6,7,32,não,0,1,587.0,HD,IPS,não,0,500,intermediario
hp,2011.0,12,14,16,sim,6,2,,4K,TN,não,500,1000,jogos_intermediarios
razer,2010.0,4,8,8,não,0,2,596.0,FULLHD,AMOLED,não,2000,250,premium
apple,,10,15,8,não,0,3,572.0,4K,OLED,,2000,250,premium
,2014.0,12,19,8,não,0,3,582.0,4K,OLED,não,2000,250,premium
apple,,12,24,16,não,0,2,,4K,OLED,não,0,1000,premium
asus,2012.0,2,4,4,não,0,2,67.0,FULLHD,IPS,,2000,250,2em1
apple,2017.0,12,18,8,não,0,3,401.0,FULLHD,AMOLED,,0,250,premium
apple,2016.0,6,8,16,não,0,3,502.0,4K,OLED,,0,500,premium
dell,2015.0,6,8,12,não,0,4,46.0,HD,VA,,500,0,intermediario
apple,2023.0,6,6,8,não,0,2,511.0,4K,AMOLED,não,0,250,premium
positivo,2013.0,2,3,6,não,0,3,202.0,HD,IPS,não,2000,0,entrada
positivo,2016.0,10,20,16,não,0,4,98.0,HD,IPS,,500,0,entrada
lenovo,2011.0,2,2,2,não,0,3,503.0,FULLHD,OLED,,2000,500,ultraportatil
samsung,2010.0,4,4,6,não,0,3,333.0,FULLHD,AMOLED,sim,500,250,2em1
samsung,,12,17,16,sim,12,4,182.0,FULLHD,OLED,não,0,250,jogos_premium
apple,2018.0,8,10,16,não,0,2,562.0,QUADHD,OLED,,0,250,premium
asus,2022.0,8,15,4,não,0,2,246.0,HD,IPS,,1000,125,entrada
razer,2018.0,8,9,8,não,0,2,425.0,FULLHD,OLED,,0,250,premium
positivo,2017.0,8,14,16,não,0,3,34.0,HD,IPS,,500,0,entrada
hp,2016.0,10,14,12,não,0,3,507.0,FULLHD,VA,,0,1000,ultraportatil
huawei,,6,10,8,não,0,2,594.0,4K,OLED,não,0,250,premium
razer,2014.0,6,6,16,não,0,3,489.0,4K,AMOLED,não,1000,250,premium
apple,2018.0,4,4,16,não,0,3,535.0,FULLHD,AMOLED,não,0,500,premium
razer,2017.0,8,8,16,não,0,2,498.0,FULLHD,AMOLED,não,0,250,premium
