marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
xiaomi,,10,17,16,não,0.0,,402.0,FULLHD,OLED,não,1000.0,250.0,premium,16084
dell,2014.0,4,5,16,sim,6.0,1.0,104.0,FULLHD,OLED,não,0.0,1000.0,jogos_premium,14574
razer,2016.0,12,18,32,sim,6.0,4.0,87.0,QUADHD,AMOLED,não,0.0,250.0,jogos_premium,17466
xiaomi,2023.0,10,20,8,não,0.0,,457.0,4K,AMOLED,não,0.0,250.0,premium,20413
asus,2018.0,4,5,6,não,0.0,,359.0,HD,VA,não,500.0,0.0,,10843
apple,2020.0,10,20,8,não,0.0,,,FULLHD,AMOLED,não,0.0,1000.0,,18581
razer,2020.0,6,10,8,não,0.0,2.0,411.0,FULLHD,AMOLED,não,0.0,2000.0,premium,21224
apple,2021.0,10,17,16,não,0.0,2.0,,4K,AMOLED,não,0.0,250.0,,19046
positivo,2013.0,2,4,16,não,0.0,,,HD,IPS,não,2000.0,0.0,entrada,4326
hp,2019.0,10,16,12,não,,2.0,507.0,FULLHD,OLED,não,0.0,250.0,ultraportatil,18099
samsung,2020.0,12,23,32,não,0.0,,,HD,IPS,não,250.0,0.0,entrada,8280
samsung,2011.0,6,11,16,sim,4.0,1.0,,FULLHD,,não,0.0,500.0,jogos_intermediarios,9790
xiaomi,2016.0,6,11,16,não,0.0,2.0,423.0,4K,AMOLED,não,0.0,500.0,premium,14791
samsung,2014.0,8,12,4,não,0.0,1.0,309.0,HD,TN,não,2000.0,0.0,entrada,7769
lenovo,2017.0,6,6,12,não,0.0,3.0,387.0,HD,TN,não,250.0,,entrada,8569
acer,2015.0,10,20,2,não,,3.0,537.0,FULLHD,VA,não,0.0,250.0,ultraportatil,15583
dell,2011.0,6,7,8,sim,4.0,1.0,97.0,FULLHD,VA,não,2000.0,250.0,jogos_entrada,7547
lenovo,2015.0,6,7,8,não,0.0,,439.0,HD,IPS,não,,2000.0,,10738
asus,2011.0,6,7,4,não,0.0,,458.0,HD,TN,não,0.0,250.0,entrada,9432
acer,2015.0,8,12,32,sim,6.0,,180.0,QUADHD,AMOLED,não,0.0,250.0,jogos_premium,16330
positivo,2022.0,4,4,16,não,0.0,4.0,,HD,TN,não,1000.0,125.0,entrada,6891
lenovo,2020.0,10,20,2,não,0.0,,587.0,FULLHD,,não,0.0,250.0,ultraportatil,20454
samsung,2022.0,10,19,6,não,0.0,,115.0,HD,IPS,não,,500.0,intermediario,7292
positivo,,6,7,6,não,0.0,,,HD,IPS,não,250.0,0.0,entrada,6135
acer,2020.0,4,7,16,sim,6.0,4.0,170.0,4K,OLED,não,0.0,250.0,jogos_premium,15335
positivo,2023.0,8,16,4,não,0.0,1.0,220.0,HD,TN,não,500.0,250.0,entrada,6583
asus,2023.0,4,6,4,não,,2.0,544.0,FULLHD,VA,não,0.0,1000.0,,15131
huawei,2020.0,12,22,16,não,0.0,2.0,548.0,QUADHD,AMOLED,não,,500.0,,21952
apple,2023.0,12,24,16,não,0.0,2.0,438.0,QUADHD,AMOLED,não,0.0,2000.0,premium,26249
lenovo,2018.0,4,5,16,sim,6.0,4.0,,4K,AMOLED,não,0.0,2000.0,jogos_premium,22353
hp,2010.0,2,3,8,sim,2.0,1.0,166.0,FULLHD,OLED,não,,1000.0,jogos_entrada,8028
huawei,2019.0,10,12,8,não,0.0,2.0,519.0,QUADHD,OLED,não,0.0,500.0,premium,21790
huawei,2010.0,8,16,16,não,0.0,,438.0,QUADHD,OLED,não,,250.0,premium,16968
positivo,2020.0,12,17,6,não,,1.0,,HD,IPS,não,250.0,0.0,,7711
lenovo,2014.0,10,18,6,não,0.0,2.0,,HD,TN,não,500.0,0.0,intermediario,11050
lenovo,2017.0,10,20,16,sim,4.0,2.0,133.0,4K,IPS,não,0.0,500.0,jogos_intermediarios,11580
huawei,2020.0,4,6,16,não,0.0,2.0,,QUADHD,AMOLED,não,0.0,500.0,premium,22963
hp,2015.0,6,7,8,sim,,,,FULLHD,OLED,não,0.0,250.0,jogos_entrada,7805
apple,2017.0,4,4,8,não,,,452.0,FULLHD,AMOLED,não,0.0,2000.0,,19628
hp,2017.0,10,15,16,sim,6.0,3.0,119.0,FULLHD,OLED,não,0.0,250.0,jogos_intermediarios,10681
asus,2019.0,8,11,12,não,0.0,2.0,548.0,FULLHD,IPS,não,0.0,250.0,ultraportatil,19963
razer,2023.0,10,16,32,sim,8.0,,,QUADHD,OLED,não,0.0,2000.0,jogos_premium,22645
positivo,2011.0,4,8,8,não,0.0,,43.0,HD,,não,,0.0,entrada,3485
huawei,2016.0,12,24,8,não,0.0,,477.0,4K,AMOLED,não,0.0,2000.0,premium,18161
