marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
xiaomi,2012,12,19,16,não,0,2,434,FULLHD,OLED,não,0,2000,premium,18215
dell,2014,6,8,6,não,0,2,566,FULLHD,TN,não,500,1000,ultraportatil,18904
asus,2022,6,12,12,não,0,3,281,FULLHD,AMOLED,sim,0,500,2em1,14217
xiaomi,2014,8,9,16,não,0,3,473,QUADHD,OLED,não,2000,250,premium,19607
asus,2023,10,10,8,não,0,3,506,QUADHD,OLED,não,0,1000,premium,19841
lenovo,2021,8,8,16,não,0,2,564,4K,AMOLED,não,0,250,premium,26472
xiaomi,2010,8,10,8,não,0,3,529,FULLHD,OLED,não,0,250,premium,22422
apple,2014,6,9,8,não,0,2,499,QUADHD,AMOLED,não,1000,250,premium,17563
razer,2014,4,8,16,não,0,2,596,QUADHD,AMOLED,não,2000,250,premium,23639
huawei,2022,4,6,16,não,0,2,571,FULLHD,OLED,não,0,250,premium,17040
positivo,2016,6,12,6,não,0,2,56,HD,IPS,não,250,0,entrada,4493
huawei,2014,6,10,8,não,0,3,503,4K,OLED,não,0,1000,premium,20102
asus,2019,12,17,16,não,0,3,537,FULLHD,OLED,não,0,250,ultraportatil,20393
razer,2023,8,10,16,sim,6,4,59,FULLHD,AMOLED,não,0,2000,jogos_premium,22400
asus,2023,8,9,16,não,0,2,486,FULLHD,OLED,não,0,1000,premium,22716
acer,2022,8,10,8,não,0,1,457,HD,IPS,não,500,2000,entrada,10846
apple,2015,4,7,16,não,0,3,407,4K,AMOLED,não,0,500,premium,19612
huawei,2013,8,8,8,não,0,3,574,FULLHD,OLED,não,1000,250,premium,22817
samsung,2014,10,14,16,não,0,3,599,FULLHD,IPS,não,1000,2000,ultraportatil,20988
razer,2015,6,6,8,não,0,3,483,4K,AMOLED,não,0,250,premium,17211
acer,2023,10,20,2,não,0,3,372,HD,OLED,não,0,250,intermediario,12860
huawei,2013,6,10,16,não,0,2,567,4K,OLED,não,250,250,premium,24492
lenovo,2016,8,15,8,sim,2,1,53,FULLHD,VA,não,0,2000,jogos_entrada,8407
positivo,2022,10,14,2,não,0,4,272,HD,TN,não,1000,500,entrada,8357
samsung,2015,6,9,32,não,0,1,137,HD,IPS,não,250,0,entrada,5427
samsung,2012,8,15,32,sim,6,1,53,FULLHD,OLED,não,250,1000,jogos_premium,12357
razer,2012,8,8,16,não,0,2,468,QUADHD,OLED,não,0,1000,premium,18856
huawei,2017,4,5,8,não,0,3,416,4K,OLED,não,0,2000,premium,20155
razer,2023,10,19,16,sim,12,4,143,4K,AMOLED,não,0,1000,jogos_premium,23864
positivo,2019,10,19,6,não,0,1,88,HD,IPS,não,0,250,entrada,4871
asus,2018,8,10,16,não,0,3,508,FULLHD,IPS,sim,0,500,premium,22333
acer,2012,4,7,12,sim,4,3,106,FULLHD,OLED,não,500,125,jogos_entrada,8008
dell,2017,4,7,16,sim,6,2,166,4K,OLED,não,0,2000,jogos_intermediarios,13092
razer,2021,10,16,16,sim,6,4,139,QUADHD,OLED,não,0,500,jogos_premium,14430
dell,2015,4,6,16,não,0,2,403,QUADHD,IPS,sim,0,1000,premium,23403
lenovo,2019,10,16,16,sim,6,4,71,4K,AMOLED,não,0,1000,jogos_premium,20140
positivo,2023,4,4,64,não,0,4,236,HD,IPS,não,1000,2000,entrada,9255
acer,2020,10,15,2,não,0,2,531,FULLHD,IPS,não,0,250,ultraportatil,15491
dell,2022,12,24,16,sim,8,4,135,4K,OLED,não,0,500,jogos_premium,19689
dell,2010,10,20,32,sim,6,4,116,4K,OLED,não,250,250,jogos_premium,13736
positivo,2023,10,18,12,não,0,4,121,HD,TN,não,500,250,entrada,5653
lenovo,2014,8,8,2,não,0,3,93,HD,IPS,não,1000,0,intermediario,6066
lenovo,2011,6,6,8,não,0,4,517,HD,TN,não,500,0,entrada,11346
acer,2020,4,8,8,não,0,2,521,QUADHD,OLED,não,0,250,premium,22974
apple,2019,8,10,8,não,0,2,460,4K,AMOLED,não,0,250,premium,18407
razer,2015,6,12,8,não,0,2,587,4K,AMOLED,não,0,500,premium,19273
dell,2019,6,9,32,sim,6,4,108,QUADHD,AMOLED,não,0,250,jogos_premium,23003
dell,2011,10,17,16,sim,6,2,44,4K,OLED,não,2000,250,jogos_premium,12309
acer,2014,6,8,12,sim,4,3,108,FULLHD,TN,não,250,250,jogos_intermediarios,10379
huawei,2020,4,5,16,não,0,3,485,QUADHD,AMOLED,não,0,250,premium,17581
apple,2014,8,9,16,não,0,3,576,4K,AMOLED,não,0,250,premium,26398
samsung,2010,6,11,8,sim,2,3,74,FULLHD,VA,não,250,250,jogos_entrada,7705
xiaomi,2012,12,24,16,não,0,3,554,4K,OLED,não,250,250,premium,24319
positivo,2010,4,5,12,não,0,2,113,HD,TN,não,0,500,entrada,4626
xiaomi,2014,12,23,16,não,0,2,467,FULLHD,AMOLED,não,1000,250,premium,17928
xiaomi,2011,6,6,8,não,0,3,545,QUADHD,OLED,não,1000,250,premium,16241
samsung,2013,4,5,16,sim,6,4,113,FULLHD,OLED,não,500,250,jogos_premium,22694
positivo,2014,4,8,6,não,0,3,85,HD,TN,não,0,250,entrada,3688
apple,2010,12,20,16,não,0,3,571,FULLHD,OLED,não,500,250,premium,18654
apple,2013,4,7,8,não,0,2,467,4K,OLED,não,500,250,premium,15475
hp,2017,6,11,32,não,0,3,511,FULLHD,OLED,não,0,2000,ultraportatil,16463
huawei,2011,6,9,8,não,0,3,584,FULLHD,OLED,não,250,250,premium,23288
lenovo,2013,4,4,8,não,0,2,450,FULLHD,OLED,não,1000,250,premium,22572
razer,2023,12,18,8,não,0,3,461,FULLHD,OLED,não,0,250,premium,21136
