marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,aleatoria_1,aleatoria_2,aleatoria_3,valor
3,2021,8,15,16,1,4,4,145,3,1,0,0,250,192,19,1394,11791
8,2010,4,4,16,0,0,3,441,1,2,0,1000,250,131,29,1321,20430
6,2013,12,12,16,0,0,3,526,1,2,0,500,250,190,44,1443,25962
2,2023,4,4,12,0,0,1,34,2,1,0,0,500,100,24,1030,3156
0,2010,12,16,16,0,0,3,550,1,2,0,1000,250,157,48,2201,24619
3,2021,10,17,16,0,0,2,538,3,0,1,0,250,119,36,2339,24779
10,2023,8,14,8,0,0,2,412,0,2,0,0,250,133,24,1983,20192
2,2015,4,8,6,0,0,1,378,2,3,0,500,0,150,28,2853,8144
7,2016,4,7,8,0,0,1,141,2,3,0,1000,0,135,35,2702,4552
1,2011,6,12,8,0,0,3,539,0,0,0,2000,250,125,21,1898,24987
8,2021,12,24,8,0,0,2,500,1,2,0,0,500,186,33,2903,25079
2,2019,12,16,12,0,0,2,81,2,1,0,500,0,132,45,1953,5036
10,2018,10,11,8,0,0,3,575,3,2,0,0,250,100,42,2091,16480
9,2013,4,6,8,1,4,1,176,1,1,0,1000,2000,166,14,1541,9723
7,2020,6,12,12,0,0,1,285,2,1,0,1000,0,149,18,2090,7395
5,2010,6,7,8,0,0,3,469,0,2,0,0,250,134,49,2603,18193
9,2010,2,4,8,0,0,3,501,1,1,0,2000,250,134,23,1185,16043
10,2016,4,4,16,0,0,3,410,0,0,0,0,2000,158,45,1076,21042
4,2014,6,12,2,0,0,2,530,1,2,0,0,250,176,34,1180,18092
5,2015,4,7,16,0,0,2,434,1,2,0,0,250,196,16,1525,18797
5,2017,8,16,16,0,0,2,549,0,0,0,0,1000,112,43,1137,26919
5,2017,10,13,8,0,0,3,545,0,0,0,0,250,121,16,2485,17295
4,2010,2,2,12,0,0,3,587,1,3,0,500,1000,155,40,2813,15605
7,2013,2,4,4,0,0,3,298,2,3,0,250,0,104,41,1702,7694
3,2016,4,4,8,0,0,3,436,2,3,0,0,1000,180,30,1572,10258
0,2023,12,22,8,1,2,4,176,1,4,0,0,1000,142,24,1173,9373
9,2023,8,16,4,0,0,3,218,2,4,0,0,1000,173,39,1292,9263
7,2015,6,7,2,0,0,2,101,2,3,0,250,0,154,13,1788,4331
7,2017,8,13,4,0,0,3,72,2,3,0,1000,0,190,43,2410,3823
6,2018,8,11,2,0,0,3,307,2,1,0,0,2000,114,18,2426,9196
2,2013,10,11,8,0,0,2,402,0,2,0,250,250,141,21,2823,19093
8,2011,6,11,32,1,6,3,169,3,2,0,2000,125,108,39,1206,15807
6,2019,4,6,8,0,0,2,403,1,2,0,0,1000,170,33,1253,16962
5,2016,6,6,16,0,0,3,528,1,2,0,0,500,156,38,1791,16342
8,2012,6,12,16,0,0,2,447,3,2,0,500,250,109,31,1968,17693
1,2022,6,9,16,0,0,2,447,3,0,0,0,1000,163,44,2353,24746
1,2011,6,11,8,0,0,2,405,0,2,0,2000,250,140,29,2967,14516
9,2010,4,7,4,0,0,3,299,2,1,0,500,0,112,46,2375,7628
2,2018,4,4,6,0,0,3,408,1,1,1,0,2000,115,18,2849,12208
5,2020,8,12,8,0,0,3,584,1,0,0,0,250,197,31,1423,20752
8,2015,8,9,16,1,6,2,55,3,2,0,0,250,171,25,2158,22852
9,2012,2,4,12,1,4,2,100,1,1,0,1000,500,159,11,1557,7068
0,2015,10,10,2,0,0,2,501,1,3,0,0,2000,130,32,1369,15367
0,2010,4,4,4,0,0,2,349,2,4,0,250,0,154,38,1125,10938
3,2015,10,12,4,0,0,2,297,2,3,0,0,500,191,20,2422,8255
1,2010,6,11,16,0,0,2,400,3,0,0,500,250,170,44,2515,21652
3,2016,6,6,8,0,0,3,562,1,1,1,0,250,133,31,1724,20585
5,2022,4,4,8,0,0,2,472,1,0,0,0,250,196,12,2097,22953
5,2015,4,7,16,0,0,2,595,0,0,0,0,500,103,21,1086,25132
9,2019,10,18,16,0,0,2,346,2,3,0,1000,0,154,10,2540,8686
5,2019,10,18,8,0,0,3,472,3,0,0,0,1000,189,35,1240,20824
1,2010,12,23,8,0,0,3,525,0,0,0,250,250,165,43,2722,22585
2,2016,4,7,2,0,0,2,576,1,4,0,0,500,195,38,2273,16892
4,2011,2,2,4,0,0,3,578,1,4,0,2000,500,158,42,1709,16502
1,2014,4,8,8,0,0,2,461,1,2,0,0,250,140,41,1021,17063
4,2020,12,22,16,1,6,4,98,1,3,0,0,250,165,34,1027,10294
3,2014,4,4,6,0,0,2,556,1,1,0,500,250,189,45,2461,19124
9,2019,6,11,16,1,6,4,137,1,2,0,0,250,146,11,1018,16270
5,2021,6,7,8,0,0,3,494,0,0,0,0,2000,126,24,2136,17779
2,2018,4,4,32,0,0,2,429,1,1,1,0,2000,178,22,2549,13260
1,2018,4,4,8,0,0,3,442,1,2,0,0,250,120,24,2199,18922
8,2014,12,23,16,1,6,1,104,0,2,0,500,125,190,15,2926,16100
7,2013,6,6,4,0,0,2,66,2,3,0,500,0,197,30,1206,3545
1,2022,12,17,8,0,0,2,438,0,2,0,0,500,110,35,1927,21221
8,2017,6,7,16,1,6,2,77,0,0,0,0,1000,186,44,1661,15813
8,2012,10,11,16,0,0,2,430,1,2,0,0,250,121,27,1301,22579
8,2023,8,16,8,0,0,3,473,3,2,0,0,2000,122,15,1852,19021
4,2014,8,13,8,1,2,3,99,1,4,0,2000,500,164,23,1722,8862
5,2010,4,4,8,0,0,2,556,3,2,0,0,250,158,27,1510,24752
2,2015,8,10,12,0,0,2,427,1,0,1,0,250,175,29,1652,13311
5,2021,4,8,8,0,0,3,527,3,2,0,0,250,188,24,1277,23244
6,2017,4,5,64,0,0,2,355,2,3,0,0,1000,169,36,1137,9761
10,2017,8,14,16,0,0,2,572,1,0,0,0,2000,197,33,1365,26793
4,2010,4,7,12,0,0,2,504,1,4,0,250,2000,127,21,1504,15956
7,2018,4,4,4,0,0,1,214,2,3,0,0,2000,124,10,2067,6613
5,2015,4,7,16,0,0,2,415,0,0,0,0,250,181,23,1279,19420
4,2015,4,6,16,1,6,2,132,1,3,0,0,250,100,41,2466,10779
8,2019,8,14,16,1,6,4,189,1,2,0,0,250,131,12,1445,17733
5,2023,4,7,16,0,0,2,411,1,0,0,0,500,128,19,2095,19328
0,2023,8,10,4,0,0,4,91,2,1,0,0,250,119,35,1455,6238
8,2019,8,14,8,0,0,3,560,3,0,0,0,500,145,40,1112,22890
5,2016,10,13,16,0,0,2,422,0,0,0,0,250,176,19,2718,19733
9,2022,12,20,16,0,0,2,372,1,1,1,0,250,156,10,1432,14516
9,2013,2,4,16,0,0,2,467,1,1,1,2000,250,111,41,1230,16436
0,2014,10,13,16,0,0,2,485,1,2,0,500,250,171,28,1561,21458
0,2012,8,12,16,1,6,1,143,1,0,0,0,2000,138,10,1914,24808
4,2020,4,5,16,1,6,4,78,1,1,0,0,250,107,35,1233,9153
7,2016,6,11,6,0,0,1,134,2,1,0,1000,0,181,14,1569,5943
1,2010,10,11,16,0,0,2,475,1,2,0,250,250,184,35,2632,17289
10,2020,10,18,16,0,0,2,562,3,2,0,0,250,127,47,2711,21365
4,2021,6,11,12,1,4,4,141,1,4,0,0,2000,130,10,1740,12391
2,2023,4,5,16,0,0,2,567,1,2,0,0,500,114,39,2884,22453
8,2016,8,10,8,0,0,3,541,0,0,0,0,250,159,21,2887,24991
7,2021,10,18,4,0,0,1,255,2,1,0,0,250,138,45,1071,7391
0,2017,8,15,8,0,0,2,586,1,3,0,0,250,196,45,1863,19798
7,2019,6,8,64,0,0,3,53,2,1,0,500,0,186,33,1907,5555
7,2013,2,2,12,0,0,1,174,2,3,0,2000,0,179,34,2109,5927
0,2014,6,7,16,0,0,2,417,0,2,0,0,2000,187,17,2939,20274
6,2010,4,4,8,0,0,3,575,1,1,0,250,2000,120,21,2196,20410
5,2015,10,13,8,0,0,2,424,3,2,0,0,250,107,36,1025,20558
10,2015,8,16,16,0,0,2,556,1,0,0,0,500,141,21,1592,24316
2,2022,4,7,64,0,0,1,573,2,1,0,0,1000,158,41,1873,15761
9,2011,2,4,12,0,0,2,48,2,3,0,2000,0,180,44,2438,4042
1,2011,8,16,16,0,0,2,483,1,2,0,500,250,178,25,1081,24005
10,2014,4,6,16,0,0,2,485,1,2,0,250,250,177,45,2594,15799
8,2021,6,10,16,1,6,4,144,0,2,0,0,500,119,39,2666,18079
7,2013,2,3,2,0,0,3,65,2,3,0,2000,0,195,46,2809,3779
0,2018,8,16,8,0,0,2,582,0,2,0,0,250,160,41,1851,24659
6,2021,8,14,16,1,6,4,59,1,0,0,0,500,110,24,1371,16080
1,2015,6,7,16,0,0,3,510,3,2,0,0,500,131,30,1916,19712
