valor_emprestimo,valor_financiado,valor_financiado_investidores,prazo,taxa_juros,parcela,cargo,tempo_emprego,propriedade_casa,renda_anual,status_verificacao,status_emprestimo,finalidade,titulo,estado,dti,inadimplencia_2anos,consultas_ultimos_6meses,contas_abertas,registros_publicos,saldo_renovavel,utilizacao_renovavel,total_contas,status_lista_inicial,principal_pendente,principal_pendente_investidores,pagamento_total,pagamento_total_investidores,total_principal_recebido,total_juros_recebidos,valor_ultimo_pagamento,cobrancas_12_meses_exc_med,contas_atualmente_inadimplentes,total_cobrancas,saldo_atual_total,limite_total_renovavel,score_credito
7500,7500,7500,36,9.49,240.22,14,2,2,65000.0,1,0,2,3,17,9.88,0,0,11,2,3893,48.7,36,0,5232.15,5232.15,2878.69,2878.69,2267.85,610.84,240.22,0,0,0,25292,8000,B
20000,20000,20000,60,11.53,440.16,25,10,2,50000.0,1,0,2,3,41,34.13,0,0,9,0,28752,61.2,12,1,18475.84,18475.84,2628.15,2628.15,1524.16,1103.99,440.16,0,0,0,34763,47000,B
33975,33975,33875,36,12.69,1139.69,13,0,0,85000.0,2,0,1,2,9,26.81,0,0,8,0,32208,99.1,19,0,32405.95,32310.57,2267.4,2260.73,1569.05,698.35,1139.69,0,0,0,339969,32500,C
35000,35000,35000,36,13.67,1190.62,13,0,0,115000.0,1,0,2,3,22,26.4,0,0,14,0,27364,70.9,29,1,34208.09,34208.09,1137.46,1137.46,791.91,345.55,1190.62,0,0,0,279126,38600,C
14425,14425,14425,60,18.55,370.63,4,10,0,120000.0,2,0,4,6,17,1.37,1,2,9,1,1674,12.6,40,1,13504.19,13504.19,2194.05,2194.05,920.81,1273.24,370.63,0,1,0,3862,13300,E
18000,18000,18000,36,9.17,573.83,16,2,0,65000.0,0,0,1,2,9,14.9,1,0,12,0,20711,50.6,27,0,17124.11,17124.11,1179.75,1179.75,875.89,303.86,573.83,0,0,0,151269,40900,B
20000,20000,19975,36,14.31,686.57,19,9,2,74595.0,2,0,2,3,4,15.57,0,1,14,0,20044,79.5,17,0,14256.11,14238.29,8207.04,8196.78,5743.89,2463.15,686.57,0,0,0,24451,25200,C
20000,20000,19950,60,15.61,482.23,19,10,0,103000.0,0,0,2,3,6,14.46,1,2,23,0,23742,37.7,37,0,19325.11,19276.79,1412.0,1408.47,674.89,737.11,482.23,0,0,0,396888,63000,D
18000,18000,18000,60,18.55,462.49,18,10,2,84000.0,2,0,1,2,3,33.59,0,1,25,0,19261,79.9,32,1,17049.88,17049.88,2293.9,2293.9,950.12,1343.78,462.49,0,0,0,119797,24100,E
12000,12000,12000,36,6.24,366.37,20,10,1,90000.0,0,0,4,6,33,14.32,0,0,18,0,14965,14.0,32,1,10152.31,10152.31,2194.06,2194.06,1847.69,346.37,366.37,0,0,0,298418,106700,A
24000,24000,23975,60,14.65,566.56,14,3,2,65000.0,0,0,1,2,36,12.81,0,0,21,0,26014,64.9,38,0,23449.54,23425.11,1094.05,1092.91,550.46,543.59,566.56,0,0,0,86787,40100,C
24000,24000,24000,36,12.29,800.48,8,4,2,72000.0,0,0,2,3,4,7.75,0,0,12,0,19447,56.5,26,1,22318.86,22318.86,2368.67,2368.67,1681.14,687.53,800.48,0,0,0,115040,34400,C
15000,15000,15000,36,16.99,534.72,4,5,2,52500.0,1,0,2,3,32,16.02,2,2,10,0,1539,6.4,18,1,13341.99,13341.99,2645.28,2645.28,1658.01,987.27,534.72,0,0,0,28921,24200,D
7000,7000,7000,36,9.99,225.84,16,10,0,60000.0,1,0,2,3,9,21.04,2,0,11,0,12357,58.3,17,1,6663.48,6663.48,443.91,443.91,336.52,107.39,225.84,0,0,0,111616,21200,B
13800,13800,13800,60,15.61,332.74,24,6,2,30000.0,1,0,1,2,33,32.08,0,0,13,2,10809,46.2,21,0,12684.65,12684.65,2305.24,2305.24,1115.35,1189.89,332.74,0,0,0,32154,23400,D
20000,20000,20000,60,18.55,513.88,22,10,2,93000.0,1,0,2,3,32,14.76,0,2,15,0,28721,38.3,19,1,19161.96,19161.96,2034.91,2034.91,838.04,1196.87,513.88,0,0,0,333454,75000,E
28800,28800,28800,36,13.99,984.18,19,10,2,60000.0,1,0,2,3,41,29.99,0,0,18,0,10476,25.6,40,1,24794.31,24794.31,5882.7,5882.7,4005.69,1877.01,984.18,0,0,0,100233,42200,C
28000,28000,28000,36,6.49,858.05,10,10,0,130000.0,1,0,1,2,6,11.87,0,0,7,0,45629,47.9,19,1,20013.58,20013.58,9418.36,9418.36,7986.42,1431.94,858.05,0,0,0,193801,72800,A
8000,8000,8000,36,15.61,279.72,19,10,2,42000.0,2,0,2,3,30,20.17,1,2,6,1,1858,98.0,22,0,6721.4,6721.4,1957.1,1957.1,1278.6,678.5,279.72,0,0,0,14807,1900,D
8000,8000,8000,36,12.29,266.83,6,1,2,70000.0,1,0,1,2,41,17.25,0,0,7,0,15314,87.5,11,0,7439.61,7439.61,789.57,789.57,560.39,229.18,266.83,0,0,0,46305,17500,C
28250,28250,28250,60,18.54,725.69,18,3,0,115000.0,2,0,2,3,16,18.51,3,1,12,0,8647,24.5,32,0,24468.61,24468.61,8679.18,8679.18,3781.39,4897.79,725.69,0,0,0,255323,36300,E
16000,16000,16000,60,14.65,377.71,19,10,0,85000.0,2,0,2,3,4,16.29,1,1,15,3,10006,39.9,33,1,15065.58,15065.58,1875.53,1875.53,934.42,941.11,377.71,0,0,0,491671,25100,C
6500,6500,6500,36,11.53,214.44,5,1,2,35000.0,1,0,2,3,4,15.57,0,0,5,0,3150,61.8,7,1,5883.24,5883.24,849.43,849.43,616.76,232.67,214.44,0,0,0,19121,5100,B
26100,26100,26100,60,19.19,679.78,7,9,0,70200.0,1,0,2,3,33,18.34,0,0,9,1,8381,66.5,15,1,25300.15,25300.15,1983.69,1983.69,799.85,1183.84,679.78,0,0,0,307665,12600,E
1200,1200,1200,36,18.54,43.71,19,3,0,10000.0,0,0,2,3,40,27.13,0,1,14,0,7483,51.3,15,0,900.72,900.72,479.57,479.57,299.28,180.29,43.71,0,0,0,42807,14600,E
6650,6650,6650,36,13.99,227.25,11,1,0,47000.0,0,0,11,0,38,17.98,0,0,9,0,7214,54.7,13,0,5883.73,5883.73,1131.08,1131.08,766.27,364.81,227.25,0,0,0,177030,13200,C
34000,34000,34000,60,12.29,761.31,5,10,0,115000.0,1,0,2,3,36,21.76,0,0,24,0,26823,24.7,43,1,33169.58,33169.58,1476.19,1476.19,830.42,645.77,761.31,0,0,0,215833,108600,C
20000,20000,20000,36,7.89,625.72,15,2,0,65000.0,1,0,2,3,45,28.99,0,0,12,0,17922,60.3,26,1,15954.05,15954.05,4988.23,4988.23,4045.95,942.28,625.72,0,0,0,71229,29700,A
10525,10525,10525,60,20.99,284.68,5,3,2,86000.0,1,0,2,3,31,12.59,0,1,13,4,4587,28.0,21,1,10004.2,10004.2,1398.85,1398.85,520.8,878.05,284.68,0,0,0,21484,16400,E
11850,11850,11850,60,16.49,291.27,19,0,2,63000.0,1,0,2,3,38,23.62,0,0,7,0,4059,94.4,22,1,10186.84,10186.84,3484.38,3484.38,1663.16,1821.22,291.27,0,0,129,142459,4300,D
12000,12000,12000,36,6.39,367.19,18,10,2,91000.0,0,0,1,2,9,17.25,0,0,8,0,11323,90.6,14,1,9211.52,9211.52,3300.45,3300.45,2788.48,511.97,367.19,0,0,0,41506,12500,A
17700,17700,17700,60,18.25,451.88,18,10,0,65000.0,2,0,2,3,9,36.78,0,0,11,0,23375,79.2,21,0,15952.11,15952.11,4048.97,4048.97,1747.89,2301.08,451.88,1,0,316,136356,29500,E
10200,10200,10200,36,13.99,348.57,14,2,0,56000.0,1,0,2,3,1,19.7,1,1,9,0,15666,83.3,29,0,8781.28,8781.28,2075.56,2075.56,1418.72,656.84,348.57,0,0,259,121349,23800,C
10000,10000,10000,60,19.19,260.46,2,7,0,44460.0,1,0,2,3,40,18.14,0,0,8,0,9000,59.6,13,0,9261.52,9261.52,1812.56,1812.56,738.48,1074.08,260.46,0,0,0,227384,15100,E
24000,24000,24000,60,8.18,488.71,4,10,1,150000.0,1,0,1,2,29,10.32,0,0,7,0,26295,90.7,24,1,21336.21,21336.21,3898.77,3898.77,2663.79,1234.98,488.71,0,0,0,311231,29000,B
15000,15000,15000,36,6.68,460.97,18,10,0,75000.0,1,0,2,3,4,7.87,0,1,11,1,14716,48.7,32,1,11920.75,11920.75,3676.63,3676.63,3079.25,597.38,460.97,0,0,0,19804,30200,A
15000,15000,14975,60,12.69,338.93,19,10,0,59000.0,2,0,2,3,41,32.77,3,0,20,0,14305,41.0,38,1,14637.48,14613.09,667.28,666.17,362.52,304.76,338.93,1,0,0,173543,35150,C
10000,10000,10000,36,13.33,338.54,5,7,1,57000.0,0,0,2,3,22,11.87,0,0,5,0,8253,66.0,6,0,8108.01,8108.01,2700.91,2700.91,1891.99,808.92,338.54,0,0,0,29950,12500,C
7000,7000,7000,36,6.89,215.79,19,1,2,38000.0,0,0,1,2,18,34.9,0,0,9,0,34593,84.4,41,1,6647.8,6647.8,427.56,427.56,352.2,75.36,215.79,0,0,0,99611,41000,A
9000,9000,8950,36,12.29,300.18,16,4,1,42000.0,1,0,2,3,41,26.94,0,0,6,0,6330,90.4,11,0,7938.45,7894.35,1488.61,1480.34,1061.55,427.06,300.18,0,0,0,33883,7000,C
14000,14000,14000,60,12.39,314.19,11,10,2,90000.0,0,0,2,3,4,4.12,0,1,7,0,7679,35.1,10,1,12034.58,12034.58,3446.45,3446.45,1965.42,1481.03,314.19,0,0,0,11137,21900,C
1500,1500,1500,36,12.05,49.86,18,6,2,36000.0,1,0,9,11,4,30.37,0,0,11,0,5315,49.2,19,1,1465.2,1465.2,48.86,48.86,34.8,14.06,49.86,0,0,0,26886,10800,C
10400,10400,10400,36,17.86,375.26,18,1,2,26000.0,1,0,2,3,20,14.31,0,0,7,0,9541,75.7,15,1,9026.95,9026.95,2230.92,2230.92,1373.05,857.87,375.26,0,0,0,13423,12600,D
24000,24000,24000,36,5.32,722.76,3,9,1,360000.0,2,0,2,3,32,8.08,0,0,16,0,273104,33.0,33,1,23383.64,23383.64,708.57,708.57,616.36,92.21,722.76,0,0,0,810711,319400,A
18000,18000,18000,36,16.55,637.73,8,2,2,45000.0,1,0,2,3,32,31.15,1,2,20,0,26778,71.6,41,0,13854.37,13854.37,6344.2,6344.2,4145.63,2198.57,637.73,0,0,0,132338,37000,D
14400,14400,14400,60,17.86,364.57,15,4,2,85000.0,1,0,2,3,4,26.58,0,0,12,0,31192,72.7,19,1,13133.49,13133.49,2902.27,2902.27,1266.51,1635.76,364.57,0,0,0,65510,42900,D
